SPEAKER	VOWEL	F0	F1	F2	F3
M	a	117.23	644	1491	2475
M	i	119.40	231	2111	3007
M	a	112.68	637	1464	2571
W	i	256.88	272	2426	3402
W	u	233.34	273	915	2606
W	i	213.77	254	2448	3482
W	i	186.43	251	2523	3485
W	u	192.21	302	833	2506
W	a	230.20	751	1525	2848
W	u	195.24	287	1005	2648
W	a	206.96	776	1484	2894
W	i	237.09	289	2382	3463
W	u	186.45	266	887	2470
W	u	238.00	291	940	2581
W	u	244.90	318	916	2747
W	u	226.35	298	893	2676
W	u	232.31	294	922	2710
W	a	215.81	764	1524	2807
W	i	252.22	289	2357	3365
W	u	254.15	291	1048	2661
W	a	208.89	690	1731	2963
W	u	183.02	255	798	2591
W	a	224.72	762	1517	3000
W	i	216.13	254	2455	3387
W	a	245.05	744	1436	3021
W	u	201.33	257	1215	2761
W	a	193.03	668	1704	2825
W	i	216.50	291	2499	3238
W	a	197.94	773	1560	2793
W	i	216.65	299	2415	3372
W	u	222.33	335	830	2656
W	a	213.37	651	1784	2764
W	a	182.89	745	1581	3011
W	i	246.74	282	2411	3320
W	u	212.66	313	980	2767
W	a	182.07	663	1671	2939
W	i	203.30	239	2393	3382
W	@	305.35	352	1842	3179
W	@	327.91	475	1846	3331
W	u	214.99	281	1074	2828
W	@	327.62	348	1856	3177
W	i	228.32	266	2485	3374
W	a	174.93	703	1606	2851
W	i	181.79	232	2411	3412
W	a	220.06	674	1591	2922
W	a	218.96	655	1507	2845
W	i	188.63	293	2498	3485
W	i	223.59	265	2531	3381
W	i	227.33	323	2566	3207
W	u	215.60	263	1357	2792
W	u	221.70	282	915	2619
W	i	229.01	312	2431	3347
W	i	220.40	311	2536	3178
W	u	215.19	326	775	2786
W	a	185.53	635	1390	2701
W	a	206.00	730	1587	2818
W	a	190.89	663	1476	2807
W	i	177.14	305	2476	3434
W	u	207.46	292	842	2768
W	a	176.19	770	1505	2980
W	i	195.68	251	2437	3384
W	a	189.17	683	1453	2870
W	i	256.18	268	2480	3473
W	u	222.93	298	792	2706
W	i	216.47	251	2487	3464
W	i	191.67	280	2450	3386
W	u	185.19	278	849	2588
W	a	217.26	739	1472	2747
W	u	196.08	279	913	2735
W	@	343.89	476	1550	3122
W	a	214.22	710	1478	2949
W	i	238.47	290	2425	3464
W	u	179.36	272	700	2538
W	u	247.23	296	1068	2752
W	u	231.28	294	879	2711
W	u	240.45	296	1009	2771
W	u	232.60	303	932	2744
W	a	240.74	712	1487	2789
W	i	236.40	280	2466	3475
W	u	240.56	280	954	2606
W	a	223.16	667	1727	2918
W	u	199.81	275	768	2516
W	a	216.19	710	1478	2993
W	@	382.46	448	1745	2875
W	i	216.44	241	2389	3415
W	a	229.98	633	1315	2932
W	u	245.83	286	1253	2689
W	a	222.81	565	1647	2789
W	i	246.58	291	2501	3245
W	a	222.15	634	1491	2756
W	i	253.39	288	2297	3354
W	u	234.12	315	822	2709
W	a	231.68	678	1573	2886
W	a	197.57	795	1633	3062
W	i	265.58	293	2515	3310
W	u	245.95	315	859	2717
W	a	213.00	682	1676	2960
W	i	179.01	235	2529	3386
W	u	173.84	270	892	2778
W	i	239.24	260	2476	3362
W	a	176.23	717	1555	2928
W	i	177.37	236	2421	3510
W	a	226.60	722	1531	2844
W	a	213.97	637	1639	2956
W	i	223.77	301	2355	3349
W	i	220.37	259	2513	3313
W	i	221.47	285	2533	3389
W	u	214.83	266	1234	2751
W	u	224.24	274	925	2593
W	i	215.35	312	2340	3388
W	i	201.36	288	2497	3214
W	u	229.46	298	701	2534
W	a	187.83	769	1605	2885
W	a	199.49	758	1582	2891
W	a	217.50	793	1548	2953
W	i	178.96	274	2495	3344
W	u	215.89	310	730	2692
W	a	196.87	749	1564	2998
W	@	319.73	595	1424	2960
